Year,Institution,Campus,Institution Size,Category,Location,Subcategory,Number
2014,Yale University,Main Campus,12336,Hate crimes,Noncampus,Fondling,0
2015,Yale University,Main Campus,12385,Hate crimes,Noncampus,Fondling,0
2016,Yale University,Main Campus,12458,Hate crimes,Noncampus,Fondling,0
2017,Yale University,Main Campus,12974,Hate crimes,Noncampus,Fondling,0
2001,Yale University,Main Campus,11136,Hate crimes,Noncampus,Incest,0
2002,Yale University,Main Campus,11378,Hate crimes,Noncampus,Incest,0
2003,Yale University,Main Campus,11471,Hate crimes,Noncampus,Incest,0
2004,Yale University,Main Campus,11441,Hate crimes,Noncampus,Incest,0
2005,Yale University,Main Campus,11483,Hate crimes,Noncampus,Incest,0
2006,Yale University,Main Campus,11415,Hate crimes,Noncampus,Incest,0
2007,Yale University,Main Campus,11454,Hate crimes,Noncampus,Incest,0
2008,Yale University,Main Campus,10192,Hate crimes,Noncampus,Incest,0
2009,Yale University,Main Campus,11593,Hate crimes,Noncampus,Incest,0
2010,Yale University,Main Campus,11701,Hate crimes,Noncampus,Incest,0
2011,Yale University,Main Campus,11875,Hate crimes,Noncampus,Incest,0
2012,Yale University,Main Campus,11906,Hate crimes,Noncampus,Incest,0
2013,Yale University,Main Campus,12109,Hate crimes,Noncampus,Incest,0
2014,Yale University,Main Campus,12336,Hate crimes,Noncampus,Incest,0
2015,Yale University,Main Campus,12385,Hate crimes,Noncampus,Incest,0
2016,Yale University,Main Campus,12458,Hate crimes,Noncampus,Incest,0
2017,Yale University,Main Campus,12974,Hate crimes,Noncampus,Incest,0
2001,Yale University,Main Campus,11136,Hate crimes,Noncampus,Statutory rape,0
2002,Yale University,Main Campus,11378,Hate crimes,Noncampus,Statutory rape,0
2003,Yale University,Main Campus,11471,Hate crimes,Noncampus,Statutory rape,0
2004,Yale University,Main Campus,11441,Hate crimes,Noncampus,Statutory rape,0
2005,Yale University,Main Campus,11483,Hate crimes,Noncampus,Statutory rape,0
2006,Yale University,Main Campus,11415,Hate crimes,Noncampus,Statutory rape,0
2007,Yale University,Main Campus,11454,Hate crimes,Noncampus,Statutory rape,0
2008,Yale University,Main Campus,10192,Hate crimes,Noncampus,Statutory rape,0
2009,Yale University,Main Campus,11593,Hate crimes,Noncampus,Statutory rape,0
2010,Yale University,Main Campus,11701,Hate crimes,Noncampus,Statutory rape,0
2011,Yale University,Main Campus,11875,Hate crimes,Noncampus,Statutory rape,0
2012,Yale University,Main Campus,11906,Hate crimes,Noncampus,Statutory rape,0
2013,Yale University,Main Campus,12109,Hate crimes,Noncampus,Statutory rape,0
2014,Yale University,Main Campus,12336,Hate crimes,Noncampus,Statutory rape,0
2015,Yale University,Main Campus,12385,Hate crimes,Noncampus,Statutory rape,0
2016,Yale University,Main Campus,12458,Hate crimes,Noncampus,Statutory rape,0
2017,Yale University,Main Campus,12974,Hate crimes,Noncampus,Statutory rape,0
2001,Yale University,Main Campus,11136,Hate crimes,Noncampus,Robbery,0
2002,Yale University,Main Campus,11378,Hate crimes,Noncampus,Robbery,0
2003,Yale University,Main Campus,11471,Hate crimes,Noncampus,Robbery,0
2004,Yale University,Main Campus,11441,Hate crimes,Noncampus,Robbery,0
2005,Yale University,Main Campus,11483,Hate crimes,Noncampus,Robbery,0
2006,Yale University,Main Campus,11415,Hate crimes,Noncampus,Robbery,0
2007,Yale University,Main Campus,11454,Hate crimes,Noncampus,Robbery,0
2008,Yale University,Main Campus,10192,Hate crimes,Noncampus,Robbery,0
2009,Yale University,Main Campus,11593,Hate crimes,Noncampus,Robbery,0
2010,Yale University,Main Campus,11701,Hate crimes,Noncampus,Robbery,0
2011,Yale University,Main Campus,11875,Hate crimes,Noncampus,Robbery,0
2012,Yale University,Main Campus,11906,Hate crimes,Noncampus,Robbery,0
2013,Yale University,Main Campus,12109,Hate crimes,Noncampus,Robbery,0
2014,Yale University,Main Campus,12336,Hate crimes,Noncampus,Robbery,0
2015,Yale University,Main Campus,12385,Hate crimes,Noncampus,Robbery,0
2016,Yale University,Main Campus,12458,Hate crimes,Noncampus,Robbery,0
2017,Yale University,Main Campus,12974,Hate crimes,Noncampus,Robbery,0
2001,Yale University,Main Campus,11136,Hate crimes,Noncampus,Aggravated assault,0
2002,Yale University,Main Campus,11378,Hate crimes,Noncampus,Aggravated assault,0
2003,Yale University,Main Campus,11471,Hate crimes,Noncampus,Aggravated assault,0
2004,Yale University,Main Campus,11441,Hate crimes,Noncampus,Aggravated assault,0
2005,Yale University,Main Campus,11483,Hate crimes,Noncampus,Aggravated assault,0
2006,Yale University,Main Campus,11415,Hate crimes,Noncampus,Aggravated assault,0
2007,Yale University,Main Campus,11454,Hate crimes,Noncampus,Aggravated assault,0
2008,Yale University,Main Campus,10192,Hate crimes,Noncampus,Aggravated assault,0
2009,Yale University,Main Campus,11593,Hate crimes,Noncampus,Aggravated assault,0
2010,Yale University,Main Campus,11701,Hate crimes,Noncampus,Aggravated assault,0
2011,Yale University,Main Campus,11875,Hate crimes,Noncampus,Aggravated assault,0
2012,Yale University,Main Campus,11906,Hate crimes,Noncampus,Aggravated assault,0
2013,Yale University,Main Campus,12109,Hate crimes,Noncampus,Aggravated assault,0
2014,Yale University,Main Campus,12336,Hate crimes,Noncampus,Aggravated assault,0
2015,Yale University,Main Campus,12385,Hate crimes,Noncampus,Aggravated assault,0
2016,Yale University,Main Campus,12458,Hate crimes,Noncampus,Aggravated assault,0
2017,Yale University,Main Campus,12974,Hate crimes,Noncampus,Aggravated assault,0
2001,Yale University,Main Campus,11136,Hate crimes,Noncampus,Burglary,0
2002,Yale University,Main Campus,11378,Hate crimes,Noncampus,Burglary,0
2003,Yale University,Main Campus,11471,Hate crimes,Noncampus,Burglary,0
2004,Yale University,Main Campus,11441,Hate crimes,Noncampus,Burglary,0
2005,Yale University,Main Campus,11483,Hate crimes,Noncampus,Burglary,0
2006,Yale University,Main Campus,11415,Hate crimes,Noncampus,Burglary,0
2007,Yale University,Main Campus,11454,Hate crimes,Noncampus,Burglary,0
2008,Yale University,Main Campus,10192,Hate crimes,Noncampus,Burglary,0
2009,Yale University,Main Campus,11593,Hate crimes,Noncampus,Burglary,0
2010,Yale University,Main Campus,11701,Hate crimes,Noncampus,Burglary,0
2011,Yale University,Main Campus,11875,Hate crimes,Noncampus,Burglary,0
2012,Yale University,Main Campus,11906,Hate crimes,Noncampus,Burglary,0
2013,Yale University,Main Campus,12109,Hate crimes,Noncampus,Burglary,0
2014,Yale University,Main Campus,12336,Hate crimes,Noncampus,Burglary,0
2015,Yale University,Main Campus,12385,Hate crimes,Noncampus,Burglary,0
2016,Yale University,Main Campus,12458,Hate crimes,Noncampus,Burglary,0
2017,Yale University,Main Campus,12974,Hate crimes,Noncampus,Burglary,0
2001,Yale University,Main Campus,11136,Hate crimes,Noncampus,Motor vehicle theft,0
2002,Yale University,Main Campus,11378,Hate crimes,Noncampus,Motor vehicle theft,0
2003,Yale University,Main Campus,11471,Hate crimes,Noncampus,Motor vehicle theft,0
2004,Yale University,Main Campus,11441,Hate crimes,Noncampus,Motor vehicle theft,0
2005,Yale University,Main Campus,11483,Hate crimes,Noncampus,Motor vehicle theft,0
2006,Yale University,Main Campus,11415,Hate crimes,Noncampus,Motor vehicle theft,0
2007,Yale University,Main Campus,11454,Hate crimes,Noncampus,Motor vehicle theft,0
2008,Yale University,Main Campus,10192,Hate crimes,Noncampus,Motor vehicle theft,0
2009,Yale University,Main Campus,11593,Hate crimes,Noncampus,Motor vehicle theft,0
2010,Yale University,Main Campus,11701,Hate crimes,Noncampus,Motor vehicle theft,0
2011,Yale University,Main Campus,11875,Hate crimes,Noncampus,Motor vehicle theft,0
2012,Yale University,Main Campus,11906,Hate crimes,Noncampus,Motor vehicle theft,0
2013,Yale University,Main Campus,12109,Hate crimes,Noncampus,Motor vehicle theft,0
2014,Yale University,Main Campus,12336,Hate crimes,Noncampus,Motor vehicle theft,0
2015,Yale University,Main Campus,12385,Hate crimes,Noncampus,Motor vehicle theft,0
2016,Yale University,Main Campus,12458,Hate crimes,Noncampus,Motor vehicle theft,0
2017,Yale University,Main Campus,12974,Hate crimes,Noncampus,Motor vehicle theft,0
2001,Yale University,Main Campus,11136,Hate crimes,Noncampus,Arson,0
2002,Yale University,Main Campus,11378,Hate crimes,Noncampus,Arson,0
2003,Yale University,Main Campus,11471,Hate crimes,Noncampus,Arson,0
2004,Yale University,Main Campus,11441,Hate crimes,Noncampus,Arson,0
2005,Yale University,Main Campus,11483,Hate crimes,Noncampus,Arson,0
2006,Yale University,Main Campus,11415,Hate crimes,Noncampus,Arson,0
2007,Yale University,Main Campus,11454,Hate crimes,Noncampus,Arson,0
2008,Yale University,Main Campus,10192,Hate crimes,Noncampus,Arson,0
2009,Yale University,Main Campus,11593,Hate crimes,Noncampus,Arson,0
2010,Yale University,Main Campus,11701,Hate crimes,Noncampus,Arson,0
2011,Yale University,Main Campus,11875,Hate crimes,Noncampus,Arson,0
2012,Yale University,Main Campus,11906,Hate crimes,Noncampus,Arson,0
2013,Yale University,Main Campus,12109,Hate crimes,Noncampus,Arson,0
2014,Yale University,Main Campus,12336,Hate crimes,Noncampus,Arson,0
2015,Yale University,Main Campus,12385,Hate crimes,Noncampus,Arson,0
2016,Yale University,Main Campus,12458,Hate crimes,Noncampus,Arson,0
2017,Yale University,Main Campus,12974,Hate crimes,Noncampus,Arson,0
2001,Yale University,Main Campus,11136,Hate crimes,Noncampus,Simple assault,0
2002,Yale University,Main Campus,11378,Hate crimes,Noncampus,Simple assault,0
2003,Yale University,Main Campus,11471,Hate crimes,Noncampus,Simple assault,0
2004,Yale University,Main Campus,11441,Hate crimes,Noncampus,Simple assault,0
2005,Yale University,Main Campus,11483,Hate crimes,Noncampus,Simple assault,0
2006,Yale University,Main Campus,11415,Hate crimes,Noncampus,Simple assault,0
2007,Yale University,Main Campus,11454,Hate crimes,Noncampus,Simple assault,0
2008,Yale University,Main Campus,10192,Hate crimes,Noncampus,Simple assault,0
2009,Yale University,Main Campus,11593,Hate crimes,Noncampus,Simple assault,0
2010,Yale University,Main Campus,11701,Hate crimes,Noncampus,Simple assault,0
2011,Yale University,Main Campus,11875,Hate crimes,Noncampus,Simple assault,0
2012,Yale University,Main Campus,11906,Hate crimes,Noncampus,Simple assault,0
2013,Yale University,Main Campus,12109,Hate crimes,Noncampus,Simple assault,1
2014,Yale University,Main Campus,12336,Hate crimes,Noncampus,Simple assault,0
2015,Yale University,Main Campus,12385,Hate crimes,Noncampus,Simple assault,0
2016,Yale University,Main Campus,12458,Hate crimes,Noncampus,Simple assault,0
2017,Yale University,Main Campus,12974,Hate crimes,Noncampus,Simple assault,0
2001,Yale University,Main Campus,11136,Hate crimes,Noncampus,Larceny-theft,0
2002,Yale University,Main Campus,11378,Hate crimes,Noncampus,Larceny-theft,0
2003,Yale University,Main Campus,11471,Hate crimes,Noncampus,Larceny-theft,0
2004,Yale University,Main Campus,11441,Hate crimes,Noncampus,Larceny-theft,0
2005,Yale University,Main Campus,11483,Hate crimes,Noncampus,Larceny-theft,0
2006,Yale University,Main Campus,11415,Hate crimes,Noncampus,Larceny-theft,0
2007,Yale University,Main Campus,11454,Hate crimes,Noncampus,Larceny-theft,0
2008,Yale University,Main Campus,10192,Hate crimes,Noncampus,Larceny-theft,0
2009,Yale University,Main Campus,11593,Hate crimes,Noncampus,Larceny-theft,0
2010,Yale University,Main Campus,11701,Hate crimes,Noncampus,Larceny-theft,0
2011,Yale University,Main Campus,11875,Hate crimes,Noncampus,Larceny-theft,0
2012,Yale University,Main Campus,11906,Hate crimes,Noncampus,Larceny-theft,0
2013,Yale University,Main Campus,12109,Hate crimes,Noncampus,Larceny-theft,0
2014,Yale University,Main Campus,12336,Hate crimes,Noncampus,Larceny-theft,0
2015,Yale University,Main Campus,12385,Hate crimes,Noncampus,Larceny-theft,0
2016,Yale University,Main Campus,12458,Hate crimes,Noncampus,Larceny-theft,0
2017,Yale University,Main Campus,12974,Hate crimes,Noncampus,Larceny-theft,0
2001,Yale University,Main Campus,11136,Hate crimes,Noncampus,Intimidation,0
2002,Yale University,Main Campus,11378,Hate crimes,Noncampus,Intimidation,0
2003,Yale University,Main Campus,11471,Hate crimes,Noncampus,Intimidation,0
2004,Yale University,Main Campus,11441,Hate crimes,Noncampus,Intimidation,0
2005,Yale University,Main Campus,11483,Hate crimes,Noncampus,Intimidation,0
2006,Yale University,Main Campus,11415,Hate crimes,Noncampus,Intimidation,0
2007,Yale University,Main Campus,11454,Hate crimes,Noncampus,Intimidation,0
2008,Yale University,Main Campus,10192,Hate crimes,Noncampus,Intimidation,0
2009,Yale University,Main Campus,11593,Hate crimes,Noncampus,Intimidation,0
2010,Yale University,Main Campus,11701,Hate crimes,Noncampus,Intimidation,0
2011,Yale University,Main Campus,11875,Hate crimes,Noncampus,Intimidation,0
2012,Yale University,Main Campus,11906,Hate crimes,Noncampus,Intimidation,0
2013,Yale University,Main Campus,12109,Hate crimes,Noncampus,Intimidation,0
2014,Yale University,Main Campus,12336,Hate crimes,Noncampus,Intimidation,0
2015,Yale University,Main Campus,12385,Hate crimes,Noncampus,Intimidation,0
2016,Yale University,Main Campus,12458,Hate crimes,Noncampus,Intimidation,0
2017,Yale University,Main Campus,12974,Hate crimes,Noncampus,Intimidation,0
2001,Yale University,Main Campus,11136,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2002,Yale University,Main Campus,11378,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2003,Yale University,Main Campus,11471,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2004,Yale University,Main Campus,11441,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2005,Yale University,Main Campus,11483,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2006,Yale University,Main Campus,11415,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2007,Yale University,Main Campus,11454,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2008,Yale University,Main Campus,10192,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2009,Yale University,Main Campus,11593,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2010,Yale University,Main Campus,11701,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2011,Yale University,Main Campus,11875,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2012,Yale University,Main Campus,11906,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2013,Yale University,Main Campus,12109,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2014,Yale University,Main Campus,12336,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2015,Yale University,Main Campus,12385,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2016,Yale University,Main Campus,12458,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2017,Yale University,Main Campus,12974,Hate crimes,Noncampus,Destruction/damage/ vandalism of property,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus,Murder/Non-negligent manslaughter,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus,Negligent manslaughter,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus,Negligent manslaughter,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus,Negligent manslaughter,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus,Negligent manslaughter,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus,Negligent manslaughter,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus,Negligent manslaughter,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus,Negligent manslaughter,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus,Negligent manslaughter,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus,Negligent manslaughter,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus,Negligent manslaughter,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus,Negligent manslaughter,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus,Negligent manslaughter,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus,Negligent manslaughter,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus,Negligent manslaughter,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus,Negligent manslaughter,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus,Negligent manslaughter,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus,Negligent manslaughter,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus,Sex offenses - Forcible,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus,Sex offenses - Forcible,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus,Sex offenses - Forcible,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus,Sex offenses - Forcible,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus,Sex offenses - Forcible,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus,Sex offenses - Forcible,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus,Sex offenses - Forcible,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus,Sex offenses - Forcible,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus,Sex offenses - Forcible,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus,Sex offenses - Forcible,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus,Sex offenses - Forcible,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus,Sex offenses - Forcible,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus,Sex offenses - Forcible,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus,Sex offenses - Forcible,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus,Sex offenses - Forcible,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus,Sex offenses - Forcible,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus,Sex offenses - Forcible,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus,Sex offenses - Non-forcible,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus,Sex offenses - Non-forcible,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus,Sex offenses - Non-forcible,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus,Sex offenses - Non-forcible,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus,Sex offenses - Non-forcible,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus,Sex offenses - Non-forcible,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus,Sex offenses - Non-forcible,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus,Sex offenses - Non-forcible,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus,Sex offenses - Non-forcible,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus,Sex offenses - Non-forcible,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus,Sex offenses - Non-forcible,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus,Sex offenses - Non-forcible,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus,Sex offenses - Non-forcible,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus,Sex offenses - Non-forcible,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus,Sex offenses - Non-forcible,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus,Sex offenses - Non-forcible,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus,Sex offenses - Non-forcible,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus,Rape,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus,Rape,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus,Rape,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus,Rape,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus,Rape,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus,Rape,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus,Rape,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus,Rape,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus,Rape,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus,Rape,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus,Rape,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus,Rape,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus,Rape,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus,Rape,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus,Rape,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus,Rape,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus,Rape,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus,Fondling,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus,Fondling,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus,Fondling,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus,Fondling,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus,Fondling,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus,Fondling,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus,Fondling,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus,Fondling,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus,Fondling,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus,Fondling,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus,Fondling,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus,Fondling,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus,Fondling,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus,Fondling,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus,Fondling,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus,Fondling,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus,Fondling,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus,Incest,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus,Incest,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus,Incest,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus,Incest,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus,Incest,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus,Incest,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus,Incest,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus,Incest,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus,Incest,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus,Incest,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus,Incest,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus,Incest,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus,Incest,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus,Incest,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus,Incest,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus,Incest,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus,Incest,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus,Statutory rape,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus,Statutory rape,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus,Statutory rape,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus,Statutory rape,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus,Statutory rape,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus,Statutory rape,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus,Statutory rape,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus,Statutory rape,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus,Statutory rape,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus,Statutory rape,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus,Statutory rape,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus,Statutory rape,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus,Statutory rape,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus,Statutory rape,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus,Statutory rape,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus,Statutory rape,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus,Statutory rape,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus,Robbery,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus,Robbery,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus,Robbery,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus,Robbery,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus,Robbery,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus,Robbery,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus,Robbery,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus,Robbery,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus,Robbery,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus,Robbery,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus,Robbery,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus,Robbery,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus,Robbery,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus,Robbery,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus,Robbery,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus,Robbery,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus,Robbery,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus,Aggravated assault,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus,Aggravated assault,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus,Aggravated assault,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus,Aggravated assault,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus,Aggravated assault,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus,Aggravated assault,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus,Aggravated assault,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus,Aggravated assault,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus,Aggravated assault,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus,Aggravated assault,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus,Aggravated assault,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus,Aggravated assault,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus,Aggravated assault,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus,Aggravated assault,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus,Aggravated assault,0
